"Name";"Category";"Author";"URL"
"IrMempull";"ram";"n3l5";"https://github.com/n3l5/irMempull/archive/master.zip"
"Java_IDX_Parser";"malware";"Rurik";"https://github.com/Rurik/Java_IDX_Parser/archive/master.zip"
"JLECmd";"user_activity";"zimmerman";"https://f001.backblazeb2.com/file/EricZimmermanTools/JLECmd.zip"
"JumpListExplorer";"user_activity";"zimmerman";"https://f001.backblazeb2.com/file/EricZimmermanTools/JumpListExplorer.zip"
"Kernel_Exchange_EDB_Viewer";"user_activity";"nucleus_technologies";"https://www.nucleustechnologies.com/dl/dl.php?id=135"
"Kernel_Outlook_OST_Viewer";"mails";"nucleus_technologies";"https://www.nucleustechnologies.com/dl/dl.php?id=127"
"Kernel_Outlook_PST_Viewer";"mails";"nucleus_technologies";"https://www.nucleustechnologies.com/dl/dl.php?id=125"
"LastActivityView";"user_activity";"nirsoft";"https://www.nirsoft.net/utils/lastactivityview.zip"
"LECmd";"user_activity";"zimmerman";"https://f001.backblazeb2.com/file/EricZimmermanTools/LECmd.zip"
"Linux-write-blocker";"system";"msuhanov";"https://github.com/msuhanov/Linux-write-blocker/archive/master.zip"
"Linux-write-blocker_release";"system";"msuhanov";"https://api.github.com/repos/msuhanov/Linux-write-blocker/releases/latest"
"LogFileParser";"filesystem";"jschicht";"https://github.com/jschicht/LogFileParser/archive/master.zip"
"LogViewer2";"events";"woanware";"https://github.com/woanware/LogViewer2/archive/master.zip"
"LogViewer2_release";"events";"woanware";"https://api.github.com/repos/woanware/LogViewer2/releases/latest"
"Mail_Viewer";"mail";"mitec";"https://www.mitec.cz/Downloads/MailView.zip"
"Malzilla_";"malware";"bobby ";"https://sourceforge.net/projects/malzilla/files/Malzilla%20Win32%20Binary%20package/Malzilla%201.2.0/malzilla_1.2.0.zip/download"
"MemProcFs";"ram";"ufrisk";"https://github.com/ufrisk/MemProcFS/archive/master.zip"
"MemProcFs_release";"ram";"ufrisk";"https://api.github.com/repos/ufrisk/MemProcFS/releases/latest"
"Mft2Csv";"filesystem";"jschicht";"https://github.com/jschicht/Mft2Csv/archive/master.zip"
"MftCarver";"carving";"jschicht";"https://github.com/jschicht/MftCarver/archive/master.zip"
"MFTECmd";"filesystem";"zimmerman";"https://f001.backblazeb2.com/file/EricZimmermanTools/MFTECmd.zip"
"MFTExplorer";"filesystem";"zimmerman";"https://f001.backblazeb2.com/file/EricZimmermanTools/MFTExplorer.zip"
"MftRcrd";"filesystem";"jschicht";"https://github.com/jschicht/MftRcrd/archive/master.zip"
"MyLastSearch";"user_activity";"nirsoft";"https://www.nirsoft.net/utils/mylastsearch.zip"
"MZCacheView";"browser";"nirsoft";"https://www.nirsoft.net/utils/mozillacacheview.zip"
"MZCookiesView";"browser";"nirsoft";"https://www.nirsoft.net/utils/mzcv.zip"
"MZHistoryView";"browser";"nirsoft";"https://www.nirsoft.net/utils/mozillahistoryview.zip"
"NetshPacketCap";"network";"n3l5";"https://github.com/n3l5/netshPacketCap/archive/master.zip"
"NetworkMiner";"network";"netresec";"https://www.netresec.com/?download=NetworkMiner"
"NetworkTrafficView";"network";"nirsoft";"https://www.nirsoft.net/utils/networktrafficview.zip"
"Noriben";"malware";"Rurik";"https://github.com/Rurik/Noriben/archive/master.zip"
"NTFS_Log_Tracker_";"filesystem";"Blueangel";"https://sites.google.com/site/forensicnote/ntfs-log-tracker/NTFS%20Log%20Tracker%20v1.6%20CMD.zip"
"NTFS_Log_Tracker_";"filesystem";"Blueangel";"https://sites.google.com/site/forensicnote/ntfs-log-tracker/NTFS%20Log%20Tracker%20v1.6.zip"
"NtfsFileExtractor";"filesystem";"jschicht";"https://github.com/jschicht/NtfsFileExtractor/archive/master.zip"
"OfficeIns";"mail";"nirsoft";"https://www.nirsoft.net/utils/officeins.zip"
"OpenedFilesView";"user_activity";"nirsoft";"https://www.nirsoft.net/utils/ofview.zip"
"Osquery";"suite";"osquery";"https://github.com/osquery/osquery/archive/master.zip"
"Osquery_release";"suite";"osquery";"https://api.github.com/repos/osquery/osquery/releases/latest"
"OutlookAddressBookView";"mail";"nirsoft";"https://www.nirsoft.net/utils/outlookaddressbookview.zip"
"OutlookAttachView";"mail";"nirsoft";"https://www.nirsoft.net/utils/outlookattachview.zip"
"PE_Carver";"file_analysis";"Rurik";"https://github.com/Rurik/PE_Carver/archive/master.zip"
"Pecluster";"malware";"hexacorn";"http://hexacorn.com/download.php?f=PECluester.pl"
"PECmd";"execution";"zimmerman";"https://f001.backblazeb2.com/file/EricZimmermanTools/PECmd.zip"
"Plaso";"timeline";"log2timeline";"https://github.com/log2timeline/plaso/archive/master.zip"
"Plaso_release";"timeline";"log2timeline";"https://api.github.com/repos/log2timeline/plaso/releases/latest"
"PowerForensics";"suite";"Invoke-IR";"https://github.com/Invoke-IR/PowerForensics/archive/master.zip"
"Powershell-IR-Scripts";"collecte";"Jrotenberger";"https://github.com/Jrotenberger/Powershell-IR-Scripts/archive/master.zip"
"Process_hacker";"system_activity";"Wen_Jia_Liu ";"https://github.com/processhacker/processhacker/archive/master.zip"
"Process_hacker_release";"system_activity";"Wen_Jia_Liu ";"https://api.github.com/repos/processhacker/processhacker/releases/latest"
"ProduKey";"registry";"nirsoft";"https://www.nirsoft.net/utils/produkey.zip"
"Python-Evtx";"events";"ballenthin";"https://github.com/williballenthin/python-evtx/archive/master.zip"
"Python-Evtx_release";"events";"ballenthin";"https://api.github.com/repos/williballenthin/python-evtx/releases/latest"
"Python-Registry";"registry";"ballenthin";"https://github.com/williballenthin/python-registry/archive/master.zip"
"Python-Registry_release";"registry";"ballenthin";"https://api.github.com/repos/williballenthin/python-registry/releases/latest"
